# Discriminator Loss, Generator Loss
6.000000000000000000e+00,4.000000000000000000e+00
5.308481216430664062e+00,2.798788547515869141e+00
4.723265171051025391e+00,2.878589391708374023e+00
4.118875026702880859e+00,3.299756050109863281e+00
3.720059871673583984e+00,3.619159698486328125e+00
3.101102828979492188e+00,4.336763858795166016e+00
2.166161298751831055e+00,5.912573337554931641e+00
1.341742515563964844e+00,7.600908279418945312e+00
8.681539297103881836e-01,9.065293312072753906e+00
6.471753120422363281e-01,1.004434204101562500e+01
6.156880855560302734e-01,1.007445049285888672e+01
7.095329165458679199e-01,9.353213310241699219e+00
8.634308576583862305e-01,8.685061454772949219e+00
1.097412109375000000e+00,7.474816799163818359e+00
1.185345292091369629e+00,7.669368267059326172e+00
9.241033792495727539e-01,8.792745590209960938e+00
6.472133398056030273e-01,1.026282691955566406e+01
4.477007985115051270e-01,1.235614967346191406e+01
3.522836267948150635e-01,1.335245609283447266e+01
3.367706537246704102e-01,1.302297687530517578e+01
3.180218935012817383e-01,1.330715370178222656e+01
3.068063557147979736e-01,1.370432281494140625e+01
2.886631786823272705e-01,1.396003818511962891e+01
2.797909677028656006e-01,1.356615829467773438e+01
2.302980422973632812e-01,1.458119678497314453e+01
1.981090009212493896e-01,1.531502532958984375e+01
2.041587829589843750e-01,1.444208049774169922e+01
2.477840483188629150e-01,1.344097042083740234e+01
2.722393870353698730e-01,1.334244537353515625e+01
3.010714054107666016e-01,1.313735675811767578e+01
3.801958560943603516e-01,1.181318092346191406e+01
3.902356028556823730e-01,1.217152786254882812e+01
3.043858110904693604e-01,1.340955352783203125e+01
2.581051588058471680e-01,1.333664608001708984e+01
2.065027803182601929e-01,1.445215892791748047e+01
1.797061860561370850e-01,1.541261768341064453e+01
1.705525964498519897e-01,1.507954788208007812e+01
2.039127945899963379e-01,1.393954181671142578e+01
1.899289488792419434e-01,1.496638107299804688e+01
1.643594503402709961e-01,1.651195144653320312e+01
1.538597345352172852e-01,1.570513916015625000e+01
1.729734838008880615e-01,1.461339855194091797e+01
1.548781991004943848e-01,1.608167457580566406e+01
1.322612166404724121e-01,1.778634262084960938e+01
1.147392243146896362e-01,1.800802040100097656e+01
1.027978807687759399e-01,1.791989707946777344e+01
9.565278887748718262e-02,1.814505195617675781e+01
8.617246150970458984e-02,1.877606010437011719e+01
7.916731387376785278e-02,1.899271011352539062e+01
8.232058584690093994e-02,1.871027374267578125e+01
7.976815104484558105e-02,1.862263870239257812e+01
7.126008719205856323e-02,1.944632339477539062e+01
6.743080168962478638e-02,2.021365737915039062e+01
7.219117134809494019e-02,1.945241546630859375e+01
7.515934854745864868e-02,1.837574005126953125e+01
6.642568856477737427e-02,1.895711517333984375e+01
6.308774650096893311e-02,2.002562904357910156e+01
5.780548974871635437e-02,2.047761917114257812e+01
5.714304745197296143e-02,2.014246940612792969e+01
6.318810582160949707e-02,1.932762908935546875e+01
6.272095441818237305e-02,1.880617141723632812e+01
6.445118784904479980e-02,1.940955352783203125e+01
5.723991990089416504e-02,2.007687950134277344e+01
5.789745971560478210e-02,1.996652984619140625e+01
5.857244879007339478e-02,1.965155792236328125e+01
6.306112557649612427e-02,1.919272804260253906e+01
7.233382761478424072e-02,1.843977165222167969e+01
9.570875763893127441e-02,1.694498062133789062e+01
1.638230532407760620e-01,1.490413761138916016e+01
2.058596909046173096e-01,1.651417541503906250e+01
2.209794670343399048e-01,1.741624641418457031e+01
2.386534810066223145e-01,1.735157203674316406e+01
2.987399101257324219e-01,1.621867370605468750e+01
4.083421230316162109e-01,1.317614173889160156e+01
4.755873680114746094e-01,1.471182250976562500e+01
9.658579230308532715e-01,1.464039802551269531e+01
1.988528490066528320e+00,1.981753540039062500e+01
1.856967449188232422e+00,2.024718475341796875e+01
1.295369982719421387e+00,1.963309097290039062e+01
8.542771339416503906e-01,2.288397789001464844e+01
6.517925262451171875e-01,2.238285827636718750e+01
1.203386664390563965e+00,3.463516998291015625e+01
2.250624656677246094e+00,2.594164848327636719e+01
2.305717468261718750e+00,1.958156967163085938e+01
2.470862150192260742e+00,1.956416511535644531e+01
1.271332740783691406e+00,2.051850891113281250e+01
5.770931243896484375e-01,1.768195533752441406e+01
5.164425969123840332e-01,1.684897994995117188e+01
5.939856767654418945e-01,1.726737213134765625e+01
7.872872352600097656e-01,1.587294292449951172e+01
8.347979187965393066e-01,1.623188209533691406e+01
7.633441090583801270e-01,1.540026950836181641e+01
5.590728521347045898e-01,1.533068466186523438e+01
4.445003569126129150e-01,1.712295913696289062e+01
3.725263178348541260e-01,1.693313980102539062e+01
4.045456349849700928e-01,1.455120849609375000e+01
4.704478085041046143e-01,1.551563072204589844e+01
6.176873445510864258e-01,1.501395797729492188e+01
7.861489653587341309e-01,1.288942623138427734e+01
9.697702527046203613e-01,1.459468078613281250e+01
8.639138340950012207e-01,1.610894775390625000e+01
7.100675106048583984e-01,1.893932914733886719e+01
6.706005930900573730e-01,2.159263610839843750e+01
7.796478867530822754e-01,1.865918731689453125e+01
9.232023358345031738e-01,1.620535278320312500e+01
1.096371889114379883e+00,1.528305435180664062e+01
1.129752397537231445e+00,1.571590995788574219e+01
1.077954292297363281e+00,1.766797065734863281e+01
1.119510173797607422e+00,1.628949737548828125e+01
1.228093147277832031e+00,1.734046745300292969e+01
1.144603133201599121e+00,1.773419570922851562e+01
1.234553813934326172e+00,1.465596961975097656e+01
1.347121477127075195e+00,1.444434165954589844e+01
1.327149868011474609e+00,1.473502635955810547e+01
1.190703153610229492e+00,1.318252277374267578e+01
1.162120938301086426e+00,1.371108055114746094e+01
1.149625897407531738e+00,1.231864643096923828e+01
9.712575674057006836e-01,1.525030517578125000e+01
1.094311952590942383e+00,1.448679733276367188e+01
1.206210970878601074e+00,1.636431121826171875e+01
1.216715335845947266e+00,1.450596714019775391e+01
1.060870885848999023e+00,1.495221900939941406e+01
8.826215267181396484e-01,1.574258422851562500e+01
8.459389209747314453e-01,1.313854980468750000e+01
7.959406971931457520e-01,1.474223899841308594e+01
8.919205069541931152e-01,1.429004573822021484e+01
9.967062473297119141e-01,1.263095474243164062e+01
1.152994871139526367e+00,1.467091751098632812e+01
1.415291309356689453e+00,1.303024482727050781e+01
1.775928974151611328e+00,1.313339900970458984e+01
1.852995514869689941e+00,1.231929016113281250e+01
1.758316993713378906e+00,1.254275894165039062e+01
1.571106553077697754e+00,1.437175655364990234e+01
1.628415822982788086e+00,1.478010177612304688e+01
1.592472672462463379e+00,1.564799308776855469e+01
1.833188652992248535e+00,1.473778438568115234e+01
1.635940194129943848e+00,1.717469406127929688e+01
1.161348938941955566e+00,1.797534370422363281e+01
8.752652406692504883e-01,1.681162834167480469e+01
5.945743322372436523e-01,1.855410766601562500e+01
6.085473299026489258e-01,1.752400970458984375e+01
4.685570001602172852e-01,1.945135879516601562e+01
4.750788807868957520e-01,1.616408157348632812e+01
4.825012683868408203e-01,1.791297340393066406e+01
5.936655402183532715e-01,1.628069686889648438e+01
7.775458693504333496e-01,1.379145908355712891e+01
9.853090047836303711e-01,1.291126728057861328e+01
9.470825195312500000e-01,1.281701469421386719e+01
9.590306282043457031e-01,1.238933372497558594e+01
9.995115995407104492e-01,1.307890892028808594e+01
1.099160909652709961e+00,1.213631439208984375e+01
1.496311545372009277e+00,1.353066539764404297e+01
1.719165921211242676e+00,1.481867599487304688e+01
1.837219238281250000e+00,1.447768020629882812e+01
1.759295940399169922e+00,1.576781463623046875e+01
1.537382483482360840e+00,1.426180839538574219e+01
1.345588207244873047e+00,1.590552616119384766e+01
1.302254796028137207e+00,1.591458415985107422e+01
1.240581512451171875e+00,1.399599838256835938e+01
1.061365962028503418e+00,1.555255889892578125e+01
1.043854236602783203e+00,1.653986167907714844e+01
1.186768412590026855e+00,1.554360103607177734e+01
1.340599060058593750e+00,1.597385597229003906e+01
1.485218524932861328e+00,1.411965560913085938e+01
1.794367074966430664e+00,1.365048694610595703e+01
1.875271320343017578e+00,1.378354835510253906e+01
1.934385061264038086e+00,1.507267189025878906e+01
1.919722318649291992e+00,1.398863410949707031e+01
2.181733608245849609e+00,1.304865169525146484e+01
2.631659507751464844e+00,1.312125015258789062e+01
2.527272462844848633e+00,1.633591270446777344e+01
2.477325201034545898e+00,1.181282424926757812e+01
2.285119056701660156e+00,1.246675586700439453e+01
2.172854900360107422e+00,1.327070522308349609e+01
2.269499540328979492e+00,1.059033203125000000e+01
1.939473628997802734e+00,1.455373382568359375e+01
1.555915951728820801e+00,1.257011795043945312e+01
1.290649890899658203e+00,1.526566886901855469e+01
1.231886267662048340e+00,1.207474040985107422e+01
1.231460809707641602e+00,1.245334053039550781e+01
1.311007261276245117e+00,1.196960449218750000e+01
1.362939000129699707e+00,1.115914535522460938e+01
1.128770232200622559e+00,1.245823860168457031e+01
1.086292862892150879e+00,1.211238670349121094e+01
1.062439799308776855e+00,1.208142280578613281e+01
1.158394932746887207e+00,1.179192352294921875e+01
1.199061155319213867e+00,1.211778736114501953e+01
1.159292697906494141e+00,1.188950443267822266e+01
1.141164660453796387e+00,1.221398639678955078e+01
1.291917800903320312e+00,1.216991710662841797e+01
1.680770874023437500e+00,1.160112380981445312e+01
1.894903182983398438e+00,1.373267173767089844e+01
1.481599688529968262e+00,1.485697364807128906e+01
1.137147665023803711e+00,1.455425834655761719e+01
9.629755616188049316e-01,1.588897323608398438e+01
1.039959907531738281e+00,1.570390319824218750e+01
1.319563150405883789e+00,1.352766990661621094e+01
1.479879856109619141e+00,1.193377685546875000e+01
1.673353433609008789e+00,1.132300567626953125e+01
1.590098381042480469e+00,1.117015933990478516e+01
1.165964722633361816e+00,1.182711410522460938e+01
8.480263948440551758e-01,1.386862945556640625e+01
7.844636440277099609e-01,1.343282413482666016e+01
7.403458952903747559e-01,1.444728851318359375e+01
6.879940629005432129e-01,1.500167369842529297e+01
8.811823129653930664e-01,1.259069633483886719e+01
8.826351165771484375e-01,1.323733711242675781e+01
9.688343405723571777e-01,1.242359352111816406e+01
1.046484112739562988e+00,1.222915840148925781e+01
1.124600052833557129e+00,1.174364185333251953e+01
1.216103196144104004e+00,1.192008018493652344e+01
1.531120538711547852e+00,1.087648868560791016e+01
1.948140382766723633e+00,1.086951637268066406e+01
2.054118156433105469e+00,9.946395874023437500e+00
1.891636252403259277e+00,1.148796176910400391e+01
1.437150120735168457e+00,1.240799999237060547e+01
1.199641942977905273e+00,1.184995079040527344e+01
1.079117655754089355e+00,1.383524894714355469e+01
1.198336601257324219e+00,1.562848663330078125e+01
1.214423179626464844e+00,1.453569602966308594e+01
1.139927148818969727e+00,1.718473052978515625e+01
1.044648170471191406e+00,1.889018058776855469e+01
9.259884357452392578e-01,2.174053573608398438e+01
8.962621688842773438e-01,2.088896560668945312e+01
9.512434005737304688e-01,2.058549690246582031e+01
9.070394039154052734e-01,2.151525688171386719e+01
1.009639382362365723e+00,2.097992324829101562e+01
1.056818962097167969e+00,1.761845970153808594e+01
8.905222415924072266e-01,1.644963455200195312e+01
1.012702345848083496e+00,1.448248386383056641e+01
1.559964776039123535e+00,1.086852264404296875e+01
1.429916858673095703e+00,1.239453315734863281e+01
8.114023804664611816e-01,1.355883979797363281e+01
4.463192224502563477e-01,1.495078849792480469e+01
3.628491461277008057e-01,1.515574932098388672e+01
4.020534455776214600e-01,1.554085063934326172e+01
5.508327484130859375e-01,1.485492706298828125e+01
7.323650121688842773e-01,1.363069725036621094e+01
7.652750015258789062e-01,1.517322158813476562e+01
7.663476467132568359e-01,1.588360309600830078e+01
7.883918285369873047e-01,1.470152091979980469e+01
6.786224246025085449e-01,1.630286598205566406e+01
7.640525698661804199e-01,1.617466163635253906e+01
7.723705172538757324e-01,1.503710937500000000e+01
9.957154989242553711e-01,1.435141277313232422e+01
7.259702682495117188e-01,1.429674053192138672e+01
6.835572123527526855e-01,1.445994567871093750e+01
6.220262646675109863e-01,1.690368652343750000e+01
6.915404796600341797e-01,1.603939437866210938e+01
9.633235931396484375e-01,1.588199806213378906e+01
1.259277582168579102e+00,1.547201156616210938e+01
1.314253449440002441e+00,1.551527404785156250e+01
1.212509155273437500e+00,1.763505935668945312e+01
8.465958833694458008e-01,1.819766616821289062e+01
1.029219388961791992e+00,1.508813953399658203e+01
9.900447726249694824e-01,1.542975616455078125e+01
1.284416556358337402e+00,1.692091369628906250e+01
1.197736740112304688e+00,1.759618759155273438e+01
9.054058194160461426e-01,1.732627105712890625e+01
1.015546441078186035e+00,1.592292881011962891e+01
1.280336976051330566e+00,1.546069908142089844e+01
1.422040224075317383e+00,1.710179519653320312e+01
1.525229573249816895e+00,1.704237747192382812e+01
1.548203110694885254e+00,1.434233093261718750e+01
1.327373266220092773e+00,1.502356147766113281e+01
1.115652680397033691e+00,1.493922328948974609e+01
1.062838077545166016e+00,1.368323230743408203e+01
1.122117757797241211e+00,1.412649536132812500e+01
1.187079668045043945e+00,1.256141090393066406e+01
1.182655811309814453e+00,1.205039978027343750e+01
1.111433386802673340e+00,1.290612316131591797e+01
1.176619291305541992e+00,1.166369438171386719e+01
1.241585493087768555e+00,1.297747802734375000e+01
1.217803597450256348e+00,1.285083389282226562e+01
1.036901354789733887e+00,1.310380554199218750e+01
9.010722637176513672e-01,1.506409835815429688e+01
7.944904565811157227e-01,1.648316955566406250e+01
6.268957853317260742e-01,1.858093452453613281e+01
6.164019107818603516e-01,1.778817367553710938e+01
6.204023361206054688e-01,1.905591773986816406e+01
6.735048890113830566e-01,1.905628585815429688e+01
8.018437623977661133e-01,1.783972549438476562e+01
8.004112243652343750e-01,1.951870155334472656e+01
9.133164882659912109e-01,1.838385391235351562e+01
1.005936741828918457e+00,1.891907119750976562e+01
1.213577985763549805e+00,2.017047882080078125e+01
1.328320980072021484e+00,1.999898910522460938e+01
1.424765348434448242e+00,1.738335800170898438e+01
1.361360192298889160e+00,1.726325035095214844e+01
1.338065147399902344e+00,1.671295928955078125e+01
1.139874458312988281e+00,1.510173606872558594e+01
1.073366522789001465e+00,1.506522369384765625e+01
9.783470034599304199e-01,1.540188503265380859e+01
1.310524940490722656e+00,1.271786689758300781e+01
1.905773758888244629e+00,1.188012886047363281e+01
2.248826980590820312e+00,1.113006877899169922e+01
2.221046447753906250e+00,1.155966854095458984e+01
1.935397744178771973e+00,1.282297897338867188e+01
1.408406734466552734e+00,1.363817501068115234e+01
1.296091079711914062e+00,1.471553230285644531e+01
1.309514760971069336e+00,1.508959197998046875e+01
1.346813917160034180e+00,1.447268772125244141e+01
1.204112172126770020e+00,1.410804939270019531e+01
1.102194070816040039e+00,1.597875785827636719e+01
9.891940355300903320e-01,1.375589752197265625e+01
9.195170998573303223e-01,1.407662010192871094e+01
8.773559331893920898e-01,1.443323707580566406e+01
8.656431436538696289e-01,1.504882621765136719e+01
8.272058963775634766e-01,1.342700004577636719e+01
1.005478501319885254e+00,1.322695636749267578e+01
1.257684946060180664e+00,1.236532306671142578e+01
1.321255445480346680e+00,1.195389270782470703e+01
1.390012025833129883e+00,1.177489280700683594e+01
1.720567584037780762e+00,1.109172534942626953e+01
1.865578889846801758e+00,1.162658500671386719e+01
2.341795444488525391e+00,1.132338905334472656e+01
2.500199794769287109e+00,1.220004081726074219e+01
1.975414633750915527e+00,1.066309738159179688e+01
1.807830095291137695e+00,1.254958724975585938e+01
1.514093875885009766e+00,1.207540893554687500e+01
1.658600807189941406e+00,1.370117568969726562e+01
1.327988624572753906e+00,1.557273483276367188e+01
1.147118330001831055e+00,1.714310455322265625e+01
9.317991733551025391e-01,1.482702064514160156e+01
8.841298818588256836e-01,1.713386154174804688e+01
8.098942041397094727e-01,1.865542030334472656e+01
7.324094772338867188e-01,1.479142665863037109e+01
6.611887216567993164e-01,1.959207916259765625e+01
7.390758991241455078e-01,1.530047798156738281e+01
7.979062795639038086e-01,2.013707160949707031e+01
9.964286088943481445e-01,1.567292785644531250e+01
8.901855945587158203e-01,1.771818733215332031e+01
9.888839125633239746e-01,1.614960479736328125e+01
9.859628677368164062e-01,1.608737373352050781e+01
1.081051349639892578e+00,1.566894912719726562e+01
1.006758213043212891e+00,1.512326431274414062e+01
1.004861593246459961e+00,1.671394729614257812e+01
1.037760138511657715e+00,1.363256454467773438e+01
9.660274982452392578e-01,1.541592884063720703e+01
1.030945420265197754e+00,1.522763633728027344e+01
1.130322813987731934e+00,1.297396278381347656e+01
1.179602265357971191e+00,1.360908222198486328e+01
1.144062995910644531e+00,1.427805233001708984e+01
1.224466562271118164e+00,1.298158454895019531e+01
1.324031829833984375e+00,1.355379104614257812e+01
1.368344664573669434e+00,1.421431732177734375e+01
1.412030696868896484e+00,1.346106529235839844e+01
1.462482213973999023e+00,1.403744697570800781e+01
1.516833066940307617e+00,1.358108043670654297e+01
1.723546504974365234e+00,1.350045013427734375e+01
1.814795732498168945e+00,1.341109752655029297e+01
1.867312192916870117e+00,1.328428077697753906e+01
1.895615458488464355e+00,1.351101398468017578e+01
1.949959039688110352e+00,1.302623462677001953e+01
1.839108824729919434e+00,1.274733734130859375e+01
1.614151000976562500e+00,1.266452217102050781e+01
1.445783853530883789e+00,1.368933773040771484e+01
1.224588394165039062e+00,1.394845294952392578e+01
1.259378194808959961e+00,1.399086380004882812e+01
1.122466802597045898e+00,1.489671516418457031e+01
1.276594758033752441e+00,1.523816204071044922e+01
1.239942789077758789e+00,1.322846031188964844e+01
1.172713637351989746e+00,1.484041881561279297e+01
1.146740674972534180e+00,1.459494018554687500e+01
1.235141277313232422e+00,1.349459075927734375e+01
1.300756216049194336e+00,1.330128669738769531e+01
1.321990966796875000e+00,1.506555843353271484e+01
1.230876207351684570e+00,1.404575729370117188e+01
1.141073584556579590e+00,1.427106761932373047e+01
1.158322811126708984e+00,1.450745105743408203e+01
1.124495625495910645e+00,1.555650424957275391e+01
1.092980861663818359e+00,1.571264076232910156e+01
1.021578907966613770e+00,1.487427902221679688e+01
1.032775759696960449e+00,1.566272926330566406e+01
1.022473454475402832e+00,1.698455810546875000e+01
1.203381657600402832e+00,1.333118057250976562e+01
1.465814232826232910e+00,1.338821411132812500e+01
1.488607406616210938e+00,1.496533966064453125e+01
1.554187059402465820e+00,1.360402297973632812e+01
1.611400604248046875e+00,1.233711814880371094e+01
1.606279373168945312e+00,1.512994575500488281e+01
1.516161680221557617e+00,1.205115699768066406e+01
1.608936786651611328e+00,1.338079738616943359e+01
1.464972615242004395e+00,1.366774368286132812e+01
1.513034224510192871e+00,1.342406368255615234e+01
1.438614606857299805e+00,1.258923244476318359e+01
1.458706140518188477e+00,1.375137138366699219e+01
1.387521147727966309e+00,1.169726848602294922e+01
1.271805882453918457e+00,1.423882579803466797e+01
1.157335877418518066e+00,1.309321117401123047e+01
9.813094139099121094e-01,1.505199623107910156e+01
7.880918979644775391e-01,1.707303619384765625e+01
6.951488852500915527e-01,1.582704830169677734e+01
5.969446897506713867e-01,1.616461181640625000e+01
6.115892529487609863e-01,1.792700958251953125e+01
7.096250653266906738e-01,1.578578186035156250e+01
7.484123706817626953e-01,1.557967376708984375e+01
8.617597222328186035e-01,1.611624145507812500e+01
7.949224710464477539e-01,1.581229686737060547e+01
8.669668436050415039e-01,1.522674846649169922e+01
8.893127441406250000e-01,1.558953571319580078e+01
9.219363331794738770e-01,1.560767936706542969e+01
1.089221000671386719e+00,1.496965980529785156e+01
1.194139957427978516e+00,1.506659317016601562e+01
1.391392350196838379e+00,1.440140151977539062e+01
1.409055471420288086e+00,1.307364368438720703e+01
1.581087708473205566e+00,1.295971488952636719e+01
1.831968426704406738e+00,1.272252655029296875e+01
2.196132898330688477e+00,9.914736747741699219e+00
2.044105052947998047e+00,1.185909843444824219e+01
2.266253948211669922e+00,1.253145122528076172e+01
2.034320116043090820e+00,1.213348770141601562e+01
1.639828920364379883e+00,1.484529590606689453e+01
1.316434860229492188e+00,1.318580722808837891e+01
1.260646104812622070e+00,1.392299079895019531e+01
1.163540720939636230e+00,1.304798030853271484e+01
1.197404980659484863e+00,1.307284259796142578e+01
1.123944997787475586e+00,1.426466083526611328e+01
1.018517971038818359e+00,1.492907333374023438e+01
9.737161993980407715e-01,1.321169090270996094e+01
9.554580450057983398e-01,1.387125396728515625e+01
8.283176422119140625e-01,1.555610752105712891e+01
7.912634611129760742e-01,1.353051471710205078e+01
8.868937492370605469e-01,1.337351131439208984e+01
8.418227434158325195e-01,1.481012725830078125e+01
8.786253929138183594e-01,1.338523483276367188e+01
8.843160271644592285e-01,1.289807510375976562e+01
9.641119241714477539e-01,1.415846920013427734e+01
1.018518924713134766e+00,1.354722785949707031e+01
9.940718412399291992e-01,1.244122791290283203e+01
9.936802387237548828e-01,1.486787414550781250e+01
9.083501100540161133e-01,1.332165145874023438e+01
9.262716174125671387e-01,1.349149513244628906e+01
8.219546675682067871e-01,1.484555625915527344e+01
8.355717658996582031e-01,1.314353656768798828e+01
7.478075027465820312e-01,1.440384769439697266e+01
7.411266565322875977e-01,1.382382106781005859e+01
7.985352277755737305e-01,1.458657073974609375e+01
8.378328084945678711e-01,1.287308979034423828e+01
8.419526219367980957e-01,1.485416507720947266e+01
8.023182153701782227e-01,1.215226936340332031e+01
7.998932600021362305e-01,1.459047317504882812e+01
7.953040599822998047e-01,1.370740318298339844e+01
7.687623500823974609e-01,1.265254783630371094e+01
8.252455592155456543e-01,1.341543006896972656e+01
8.848613500595092773e-01,1.300285339355468750e+01
8.220106959342956543e-01,1.359663295745849609e+01
8.943969607353210449e-01,1.242760658264160156e+01
9.214278459548950195e-01,1.201001548767089844e+01
1.072578907012939453e+00,1.254175376892089844e+01
1.053742527961730957e+00,1.216820716857910156e+01
1.125521659851074219e+00,1.278341484069824219e+01
1.170364737510681152e+00,1.131744384765625000e+01
1.209909319877624512e+00,1.198469066619873047e+01
1.344592571258544922e+00,1.164371395111083984e+01
1.412172675132751465e+00,1.165827846527099609e+01
1.353818535804748535e+00,1.161131191253662109e+01
1.390268087387084961e+00,1.235106849670410156e+01
1.469563007354736328e+00,1.225885772705078125e+01
1.357554912567138672e+00,1.454819869995117188e+01
1.207406878471374512e+00,1.219448661804199219e+01
1.126882791519165039e+00,1.436735916137695312e+01
1.030051827430725098e+00,1.340572738647460938e+01
1.044351577758789062e+00,1.426444244384765625e+01
9.728094339370727539e-01,1.445316505432128906e+01
9.687404632568359375e-01,1.442984199523925781e+01
7.620009183883666992e-01,1.594452667236328125e+01
7.349858880043029785e-01,1.520823669433593750e+01
7.578513026237487793e-01,1.625190353393554688e+01
7.415460348129272461e-01,1.387900733947753906e+01
7.261977791786193848e-01,1.708758354187011719e+01
7.554212212562561035e-01,1.480904579162597656e+01
7.071198225021362305e-01,1.520493888854980469e+01
7.388288378715515137e-01,1.539224433898925781e+01
7.456868886947631836e-01,1.426754951477050781e+01
6.964108943939208984e-01,1.485273838043212891e+01
7.317388057708740234e-01,1.560437488555908203e+01
6.938803195953369141e-01,1.442054271697998047e+01
7.354612946510314941e-01,1.402968406677246094e+01
7.107622623443603516e-01,1.501877689361572266e+01
6.608253717422485352e-01,1.384121894836425781e+01
6.921734809875488281e-01,1.451539802551269531e+01
6.674792766571044922e-01,1.482197856903076172e+01
7.232289314270019531e-01,1.359335136413574219e+01
7.489698529243469238e-01,1.305137634277343750e+01
7.337949872016906738e-01,1.458082199096679688e+01
8.513691425323486328e-01,1.307924842834472656e+01
7.839112281799316406e-01,1.342533874511718750e+01
8.188186287879943848e-01,1.325575256347656250e+01
7.791079282760620117e-01,1.575160121917724609e+01
8.705681562423706055e-01,1.240012836456298828e+01
1.021064519882202148e+00,1.345319938659667969e+01
1.191213130950927734e+00,1.276668930053710938e+01
1.378746032714843750e+00,1.133231258392333984e+01
1.464547514915466309e+00,1.284974288940429688e+01
1.304967522621154785e+00,1.320614051818847656e+01
1.183578252792358398e+00,1.327323627471923828e+01
1.157085418701171875e+00,1.365795898437500000e+01
1.123726606369018555e+00,1.356374168395996094e+01
1.128878712654113770e+00,1.299307537078857422e+01
